time,lat,lon,altitude,velocity,delta_lat,delta_lon,delta_alt,speed_knots,icao24
2026-04-08 19:22:00+00:00,-26.0146,28.1313,3352.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:22:30+00:00,-26.0146,28.1313,3352.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:23:00+00:00,-26.0146,28.1313,3352.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:23:30+00:00,-26.0146,28.1313,3352.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:24:00+00:00,-26.0146,28.1313,3352.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:24:30+00:00,-26.0146,28.1313,3352.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:25:00+00:00,-26.0146,28.1313,3352.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:25:30+00:00,-26.0146,28.1313,3352.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:26:00+00:00,-26.054655555555556,28.08662222222222,3622.9444444444443,,-0.04005555555555418,-0.04467777777777826,270.94444444444434,,00b22c
2026-04-08 19:26:30+00:00,-26.094711111111113,28.041944444444443,3893.8888888888887,,-0.04005555555555773,-0.04467777777777826,270.94444444444434,,00b22c
2026-04-08 19:27:00+00:00,-26.134766666666668,27.99726666666667,4164.833333333333,,-0.04005555555555418,-0.04467777777777471,270.94444444444434,,00b22c
2026-04-08 19:27:30+00:00,-26.174822222222225,27.95258888888889,4435.777777777777,,-0.04005555555555773,-0.04467777777777826,270.94444444444434,,00b22c
2026-04-08 19:28:00+00:00,-26.21487777777778,27.907911111111112,4706.722222222223,,-0.04005555555555418,-0.04467777777777826,270.94444444444525,,00b22c
2026-04-08 19:28:30+00:00,-26.254933333333334,27.863233333333334,4977.666666666667,,-0.04005555555555418,-0.04467777777777826,270.94444444444434,,00b22c
2026-04-08 19:29:00+00:00,-26.29498888888889,27.818555555555555,5248.611111111111,,-0.04005555555555773,-0.04467777777777826,270.94444444444434,,00b22c
2026-04-08 19:29:30+00:00,-26.335044444444446,27.773877777777777,5519.555555555556,,-0.04005555555555418,-0.04467777777777826,270.94444444444434,,00b22c
2026-04-08 19:30:00+00:00,-26.375100000000003,27.7292,5790.5,,-0.04005555555555773,-0.04467777777777826,270.94444444444434,,00b22c
2026-04-08 19:30:30+00:00,-26.415155555555557,27.684522222222224,6061.444444444444,,-0.04005555555555418,-0.04467777777777471,270.94444444444434,,00b22c
2026-04-08 19:31:00+00:00,-26.45521111111111,27.639844444444446,6332.388888888889,,-0.04005555555555418,-0.04467777777777826,270.94444444444434,,00b22c
2026-04-08 19:31:30+00:00,-26.49526666666667,27.595166666666668,6603.333333333334,,-0.04005555555555773,-0.04467777777777826,270.94444444444525,,00b22c
2026-04-08 19:32:00+00:00,-26.535322222222224,27.55048888888889,6874.277777777777,,-0.04005555555555418,-0.04467777777777826,270.94444444444343,,00b22c
2026-04-08 19:32:30+00:00,-26.575377777777778,27.50581111111111,7145.222222222223,,-0.04005555555555418,-0.04467777777777826,270.94444444444525,,00b22c
2026-04-08 19:33:00+00:00,-26.615433333333335,27.461133333333336,7416.166666666667,,-0.04005555555555773,-0.04467777777777471,270.94444444444434,,00b22c
2026-04-08 19:33:30+00:00,-26.65548888888889,27.416455555555558,7687.111111111111,,-0.04005555555555418,-0.04467777777777826,270.94444444444434,,00b22c
2026-04-08 19:34:00+00:00,-26.695544444444447,27.37177777777778,7958.055555555556,,-0.04005555555555773,-0.04467777777777826,270.94444444444434,,00b22c
2026-04-08 19:34:30+00:00,-26.7356,27.3271,8229.0,,-0.04005555555555418,-0.04467777777777826,270.94444444444434,,00b22c
2026-04-08 19:35:00+00:00,-26.7356,27.3271,8229.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:35:30+00:00,-26.7356,27.3271,8229.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:36:00+00:00,-26.7356,27.3271,8229.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:36:30+00:00,-26.7356,27.3271,8229.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:37:00+00:00,-26.7356,27.3271,8229.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:37:30+00:00,-26.7356,27.3271,8229.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:38:00+00:00,-26.7356,27.3271,8229.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:38:30+00:00,-26.7356,27.3271,8229.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:39:00+00:00,-26.7356,27.3271,8229.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:39:30+00:00,-26.7356,27.3271,8229.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:40:00+00:00,-26.7356,27.3271,8229.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:40:30+00:00,-26.7356,27.3271,8229.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:41:00+00:00,-26.7356,27.3271,8229.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:41:30+00:00,-26.7356,27.3271,8229.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:42:00+00:00,-26.7356,27.3271,8229.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:42:30+00:00,-26.7356,27.3271,8229.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:43:00+00:00,-26.7356,27.3271,8229.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:43:30+00:00,-26.7356,27.3271,8229.0,,0.0,0.0,0.0,,00b22c
2026-04-08 19:44:00+00:00,-26.7356,27.3271,8229.0,,0.0,0.0,0.0,,00b22c
